p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff
3,0.0,12,4913,11429,Washington,30/07/2018,1,-0.9191542088777043,-0.30166284754821576,-0.8744918312715201,0.882413185258735,-0.09623996190762758,-0.4681118096079984,0.9518493885892781,0.8993936859488996,0.566283291961937,-0.8285333024073404,-0.4308955837056303,-0.39820370208066774
25,-1.0,24,5644,5792,Washington,30/07/2018,1,-0.37953394343585783,0.8575739833999637,0.023109132190581475,-0.08275640351355935,0.3731072165134904,-0.49885096300462345,1.0114955797650662,1.0694768421558056,-0.1818785354164344,0.5682914827243947,0.5053890607753295,0.5092589654825064
23,0.0,12,45106,5565,Washington,30/07/2018,1,0.7127236759575006,-0.7194113089916538,1.0593438728328253,1.1179470153264215,0.9153341487272625,0.7144650631931841,-0.45515913943155817,-1.2559472383147643,-1.1509357244018776,0.09527063964075104,0.5681115643904645,0.596880721327007
23,0.0,27,4794,5630,Kitzbuhel,30/07/2018,1,1.5010447054356089,0.2731472108732654,-0.05106070697077314,-0.553268038960027,-0.017104149587521864,-0.5703763130022361,0.2810750249000079,-1.2815034021383647,0.349812634607246,0.48473498238488283,0.2373249380795706,0.21624357145374895
25,0.0,11,5055,44669,Kitzbuhel,30/07/2018,1,-0.334302238161271,0.3201596383759647,0.7293410009821353,0.566196681168999,0.7884429176492785,0.5093656567016153,0.053638277559540204,-1.8624412433106705,0.8004388246925114,0.4910841571030102,0.7023535952149776,0.7282735538267611
31,1.0,9,9719,5125,Kitzbuhel,30/07/2018,1,0.22635958877432846,-0.5125087617115472,0.5925456989971096,0.056293406357417884,-0.04594286941030001,-0.21022619231309414,0.04842623123522516,0.4355451970708779,-0.40585551547911003,-0.10044756450622522,-0.07281325102054195,-0.07118317381477032
34,-1.0,25,11769,6134,Kitzbuhel,30/07/2018,1,0.048296194631247256,0.4499629249470784,0.92030526586043,-0.5272910149263385,0.18569282589038302,0.42726584755372216,0.9502515238048035,-0.5462985896254547,0.22605297888039227,0.7401452603659104,0.4944801423727268,0.4736714316833004
25,-1.0,12,5420,6061,Kitzbuhel,30/07/2018,1,0.8248741680749616,-1.4499667222143933,-0.07068131477454694,-0.2680861653871811,-1.0102021968401638,-0.8717344076271449,-0.5091573587661813,0.6429904182527401,-0.2775251080393338,-1.0191276339979345,-1.1182973168592407,-1.1014910448909014
21,0.0,37,4570,5324,Washington,30/07/2018,1,0.8026088361621605,-0.3520873471580581,0.48345904113312266,0.543598206357168,0.6548761490242423,0.0031247460312321985,0.07471521368385552,-1.191765547671834,0.19735492557152487,0.24442482392352546,0.46967968803323146,0.4807904069059068
30,1.0,9,11549,11415,Washington,30/07/2018,1,-2.1841680963922476,1.5324720748390934,1.5446125948862541,-0.03816718711748051,0.9983637632921644,1.4084979379668718,0.04018803339499852,0.38293485449534537,-0.10494151001654146,1.3969145313524935,1.3436273755815216,1.3264915117103162
