p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff
25,0.0,19,6387,11787,Atlanta,23/07/2018,0,0.03631452493140963,0.10915445108801125,0.07292764687312442,-0.019048133462774675,0.023328883602607542,0.40025068820200005,1.017162301746972,-0.03497095761533292,-0.022067904694656693,0.10511219187852927,0.05776172479713121,0.0860640584157546
29,0.0,30,11176,5978,Atlanta,23/07/2018,0,0.03027573419891494,-0.01938821095522536,0.0011289312583995237,0.033263466602792335,0.020932245725761467,0.19746305128656771,-0.32426420915456583,0.010473767720702465,-0.015085369737099286,-0.0053912334811425655,0.017751996631964695,0.027872233121649777
17,0.0,8,6315,6061,Hamburg,23/07/2018,0,-0.0034675969380664196,0.0483122806435603,0.022989008027279156,-0.024895607944980802,-0.0049186052452859785,0.06036245306800342,0.14627452945774064,0.04961747600526367,0.000997657785502537,0.03775784031367657,0.009997283749618002,0.012862232368695749
2,0.0,17,5622,11485,Gstaad,23/07/2018,0,0.08555115035342964,0.021201247838570803,-0.10494879282680136,-0.04086612610502405,-0.027755219370498074,-0.4167148289440354,-0.09686437914713783,-0.14827651203224695,0.14829529900827054,0.0001637400681666623,-0.0255370608755357,-0.04070238603685738
18,0.0,24,4570,5044,Atlanta,23/07/2018,0,-0.07058000091293282,0.020088778483366987,-0.00622282630207871,0.020190495473013215,0.012647223314180112,0.07621323384613338,0.2257080521240601,-0.08045400657857094,0.017497341802969246,-0.008198521940979808,0.007023850674239773,0.0119919735320334
35,0.0,31,5793,5918,Hamburg,23/07/2018,0,0.05478454774935082,0.023508604136710187,0.014966809162330619,0.007475450354029967,0.014411302292919093,0.20248538603069344,0.009263900111605633,-0.25450402978414355,-0.036909513884652134,0.028918187642409388,0.0244862215620244,0.036393637996439354
30,0.0,19,3852,26414,Gstaad,23/07/2018,0,-0.01844825214273038,0.02128374748311357,-0.06668427120041032,0.0005072743944959379,-0.006255357809657469,0.06103261869759502,0.42556850628230225,0.08785570690639963,-0.016831706674746316,-0.018568030623355658,-0.012119363350960255,-0.01806075622885972
35,0.0,33,4994,4544,Atlanta,23/07/2018,0,-0.08529016874767636,-0.1068214811445346,-0.05945155156290749,0.032805020827237796,-0.01283907115359495,-0.23373957551346713,-0.9789361018013287,0.019690651269178627,-0.08164296153297146,-0.10977656558532645,-0.051141339190670376,-0.07697154475808865
2,0.0,5,5476,5125,Gstaad,23/07/2018,0,0.03688070749276873,-0.03678537469788812,0.14550106213277392,-0.02388372203221334,-0.005874180241732363,-0.4503589331511288,-0.2240042333011977,0.17365716596129313,0.1754539728578326,0.031413376394030745,0.005738850078899571,0.007529654361817406
47,0.0,31,6219,11769,Hamburg,23/07/2018,0,-0.035444601932713815,0.024731652606414745,-0.025268172326658567,0.02942713923396123,0.019712131216480966,0.2101271782892402,-0.05331784626460234,0.09439224261614129,0.004898334270334481,-0.0012348540997068058,0.018667584300920803,0.028192285134254425
