p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff
1,0.0,1,4533,5978,Australian Open,15/01/2018,0,0.0458368376787216,-0.21811224489795922,-0.09790209790209792,0.10833333333333328,0.025639874270318774,0.0,-0.811965811965812,-0.025641025641025605,-0.2338709677419355,-0.15937762825904123,-0.053371180263526774,-0.05104429492570797
1,0.0,1,6085,4570,Sofia,05/02/2018,0,0.005454545454545379,-0.04745370370370372,0.05018115942028989,0.004907913377858675,0.0069441624365482735,0.0,-0.7899999999999999,-0.06,-0.0015243902439023849,-0.001212121212121331,0.0018375006899596924,0.0036957921657373716
1,0.0,1,5856,5919,Quito,05/02/2018,0,0.00400276052449966,-0.10254372019077906,-0.1767594108019639,0.05947580645161299,-0.007699141249629671,0.0,0.15151515151515146,0.15151515151515146,0.7500000000000001,-0.13167701863354042,-0.04393032458425161,-0.07220121218192743
1,0.0,1,6051,5577,Quito,05/02/2018,0,0.09752524863156276,0.03980099502487566,0.024948024948025005,0.006397474243934775,0.026589491631892836,0.0,-0.29861111111111116,0.08333333333333331,0.04705882352941182,0.05088273841646751,0.03804495080020903,0.057280212660402285
3,0.0,2,5528,5034,Sofia,05/02/2018,0,0.021834711975556975,0.01111222847948512,0.0009746588693956837,-0.04126179831097865,-0.02276881197744507,0.0,-0.311111111111111,0.022222222222222227,0.1564102564102564,0.013041210224308819,-0.0159390824533594,-0.02822058808666983
3,0.0,3,5209,5349,Montpellier,05/02/2018,0,-0.05602073365231253,0.09262875055978503,-0.04067350697184957,-0.0025682355469589524,0.009358382200649329,0.0,-0.11298904538341153,0.2128325508607199,0.10978260869565226,0.03101503759398494,0.019194393543497668,0.028446802047025987
1,0.0,2,4022,4311,Sofia,05/02/2018,0,0.03172483487927236,-0.098901098901099,0.0028761061946902533,-0.008711013645224086,-0.02355565246297764,0.0,0.05138888888888893,-0.11527777777777778,-0.30496453900709225,-0.053163460497347215,-0.040487537244899896,-0.0618744741425713
3,0.0,1,5571,6219,Rio De Janeiro,19/02/2018,0,0.05165482468788907,-0.07089349054854854,-0.020715747448274424,0.011868306988859989,-0.006242917641320789,0.0,-0.5353750100656117,-0.04433434706792738,-0.10905389887010408,-0.043669572349326335,-0.02124409317300352,-0.031801265360466346
1,0.0,2,5577,4664,Rio De Janeiro,19/02/2018,0,-0.04619265315637511,-0.05555152817995623,-0.10929845043302538,0.007652533017959762,-0.027576176979362987,0.0,0.45746518211796816,-0.1274509803921568,-0.036873982271731,-0.08419176777587645,-0.051652007635210884,-0.07653923475791669
4,0.0,3,11485,25609,Marseille,19/02/2018,0,-0.0255632415057081,-0.024915753457659062,0.06613706049259188,-0.02130633152577821,-0.012855449773254923,0.0,0.07303359669090248,0.0014336830003955359,0.08562133059453936,0.0052813455275796395,-0.010025777088483012,-0.01602498599819857
4,0.0,1,26578,3917,Marseille,19/02/2018,0,-0.07381050402870093,0.1588930348258707,0.0676873489121676,-0.00035714285714283367,0.032183048876707754,0.0,0.4285714285714286,0.19642857142857145,-0.11136363636363633,0.10939246015409043,0.07107915829979577,0.1090353172969476
3,0.0,3,3607,6030,Rio De Janeiro,19/02/2018,0,0.04654519978776195,-0.08528331284730495,-0.11711571203737686,-0.05434281200665736,-0.06518442801123459,0.0,0.07857023569510714,0.007005395099134365,0.008580692726774142,-0.08843823890736591,-0.08414744659773549,-0.14278105091402338
1,0.0,5,4659,4180,Marseille,19/02/2018,0,-0.002539912917271403,-0.11959287531806617,0.11975308641975307,0.014081508515814911,0.0001888395807762011,0.0,-0.5461538461538462,-0.023076923076923106,0.10784313725490202,-0.028483309143686575,-0.0098035606453869,-0.014401800627871556
4,0.0,4,4914,4269,Rio De Janeiro,19/02/2018,0,-0.016642392158154884,-0.0060057274406911665,0.07717232136885599,-0.02934991409239618,-0.013858465237669093,0.0,-0.06722575680409171,0.0526458054366179,0.012247691872353195,0.02139467086543656,-0.004041163731657638,-0.007955243226959618
