match_id,tournament_name,season,tournament_id,date,level,surface,round,best_of,player_id,player_rank,player_elo_rating,opponent_id,opponent_rank,opponent_elo_rating,outcome,p_1st_in,o_1st_in,p_sv_pt,o_sv_pt,p_1st_won,o_1st_won,p_2nd_won,o_2nd_won,p_ace,o_ace,p_df,o_df,p_bp_sv,o_bp_sv,p_bp_fc,o_bp_fc,p_matches,o_matches,p_sv_gms
166359,Davis Cup G1,2018,28,02/02/2018,D,H,RR,3,22389,254.0,1573,44525,289.0,1740,,33.0,33.0,62.0,61.0,24.0,27.0,15.0,16.0,3.0,12.0,1.0,2.0,2.0,2.0,5.0,3.0,0,1,11.0
166360,Davis Cup G1,2018,28,02/02/2018,D,H,RR,3,5693,325.0,1690,4533,97.0,1835,,71.0,66.0,110.0,96.0,47.0,49.0,15.0,16.0,14.0,6.0,5.0,3.0,8.0,2.0,13.0,4.0,0,1,15.0
166361,Davis Cup G1,2018,28,02/02/2018,D,H,RR,3,44525,289.0,1750,4533,97.0,1842,,47.0,30.0,79.0,55.0,24.0,21.0,15.0,15.0,1.0,0.0,4.0,2.0,9.0,2.0,14.0,4.0,0,1,9.0
166451,Montpellier,2018,289,05/02/2018,B,H,R32,3,5601,137.0,1650,26339,190.0,1736,,45.0,64.0,82.0,104.0,35.0,48.0,17.0,21.0,6.0,8.0,9.0,3.0,3.0,10.0,4.0,11.0,0,1,12.0
166452,Montpellier,2018,289,05/02/2018,B,H,R32,3,4994,53.0,1896,5324,44.0,1906,,43.0,32.0,73.0,59.0,30.0,27.0,16.0,18.0,2.0,9.0,0.0,3.0,7.0,5.0,9.0,5.0,0,1,10.0
166499,Quito,2018,347,05/02/2018,B,C,QF,3,4789,43.0,2111,6315,118.0,1779,,51.0,43.0,84.0,80.0,40.0,32.0,17.0,25.0,11.0,6.0,11.0,1.0,2.0,3.0,4.0,5.0,0,1,14.0
166500,Quito,2018,347,05/02/2018,B,C,QF,3,11769,95.0,1747,6134,107.0,1773,,69.0,52.0,105.0,81.0,52.0,43.0,16.0,16.0,14.0,4.0,6.0,9.0,4.0,1.0,6.0,2.0,0,1,15.0
166501,Quito,2018,347,05/02/2018,B,C,QF,3,44669,152.0,1794,5403,156.0,1853,,49.0,43.0,79.0,75.0,27.0,26.0,12.0,16.0,0.0,0.0,8.0,2.0,10.0,8.0,15.0,11.0,0,1,9.0
166502,Quito,2018,347,05/02/2018,B,C,SF,3,6315,118.0,1806,5070,21.0,1949,,75.0,56.0,118.0,89.0,55.0,45.0,20.0,23.0,10.0,7.0,3.0,3.0,5.0,2.0,7.0,2.0,0,1,16.0
166503,Quito,2018,347,05/02/2018,B,C,SF,3,5403,156.0,1862,6134,107.0,1788,,53.0,61.0,89.0,93.0,32.0,43.0,15.0,16.0,3.0,6.0,2.0,6.0,3.0,8.0,8.0,11.0,0,1,13.0
