match_id;date;surface;level;round;best_of;player_id;opponent_id;player_rank;opponent_rank;player_elo_rating;opponent_elo_rating;player_age;opponent_age;player_height;opponent_height;outcome;p_matches;o_matches;p_sets;o_sets;p_games;o_games;p_tbs;o_tbs;p_ace;p_df;p_sv_pt;p_1st_in;p_1st_won;p_2nd_won;p_sv_gms;p_bp_sv;p_bp_fc;o_ace;o_df;o_sv_pt;o_1st_in;o_1st_won;o_2nd_won;o_sv_gms;o_bp_sv;o_bp_fc;minutes;p_upsets;o_upsets;p_avg_ace;p_avg_df;p_avg_sv_pt;p_avg_1st_in;p_avg_1st_won;p_avg_2nd_won;p_avg_sv_gms;p_avg_bp_sv;p_avg_bp_fc;o_avg_ace;o_avg_df;o_avg_sv_pt;o_avg_1st_in;o_avg_1st_won;o_avg_2nd_won;o_avg_sv_gms;o_avg_bp_sv;o_avg_bp_fc
166560;12/02/2018;H;B;R32;3;3333;11549;89;58;1898;1887;38.96;21.34;208;;;1;0;2;0;12;10;1;0;20;1;61;46;38;11;11;0;0;8;2;73;44;37;14;11;5;6;80;1;0;19.66;3.44;84.01;55.05;45.53;15.45;13.77;2.71;3.80;6.12;2.92;84.65;54.35;42.73;18.08;13.71;2.75;3.95
166588;12/02/2018;H;A;R32;3;5986;5644;29;74;1989;1835;25.73;27.32;172;193;;1;0;2;0;12;8;0;0;4;1;65;49;34;9;10;2;3;10;4;59;36;26;10;10;0;3;77;0;0;2.75;2.90;81.24;52.11;33.96;14.60;12.69;4.69;8.35;5.34;3.14;81.81;48.28;32.53;16.31;12.83;4.42;8.19
166561;12/02/2018;H;B;R32;3;5978;5375;44;65;1950;1898;25.77;28.56;183;183;;1;0;2;0;12;9;1;0;10;1;72;49;36;11;11;4;6;2;3;70;38;24;16;10;7;10;91;0;0;6.80;3.35;80.35;47.75;34.02;16.35;12.46;4.49;7.23;5.76;3.05;77.87;47.25;34.56;16.26;12.34;3.57;5.79
166589;12/02/2018;H;A;R32;3;25898;6284;34;16;1983;2050;20.31;23.97;;185;;1;0;2;0;13;9;0;0;6;4;61;37;29;14;11;6;8;12;4;91;52;37;12;11;9;13;93;1;0;4.49;4.15;83.47;49.70;34.74;16.36;12.79;4.77;7.89;7.59;3.60;83.34;51.36;36.33;15.21;12.90;4.23;7.37
166590;12/02/2018;H;A;R32;3;5663;3917;7;101;2149;1892;27.18;36.06;163;190;;1;0;2;0;12;4;0;0;7;1;56;41;28;11;8;3;3;2;0;49;32;18;7;8;4;8;64;0;0;5.54;3.57;79.08;45.87;32.98;16.94;12.36;4.20;6.89;6.52;3.14;81.17;48.43;33.51;15.36;12.43;4.93;8.33
166591;12/02/2018;H;A;R32;3;3852;5364;37;150;1974;1853;36.4;28.59;188;190;;1;0;2;0;12;9;1;0;15;2;69;45;37;13;11;3;4;7;3;69;48;34;11;10;4;6;87;0;0;10.37;3.37;82.72;48.60;37.04;17.81;13.03;4.01;6.09;7.71;2.96;81.68;50.55;37.30;17.49;13.08;3.69;5.73
166562;12/02/2018;H;B;R32;3;5367;4879;63;108;1919;1708;28.58;30.94;185;188;;1;0;2;0;12;6;0;0;6;0;51;37;28;11;9;0;0;3;2;80;45;28;16;9;9;12;79;0;0;7.42;3.54;81.68;45.92;34.15;17.44;12.68;4.02;6.75;8.08;3.32;79.97;48.61;34.86;15.64;12.75;3.56;6.32
166592;12/02/2018;H;A;R32;3;4677;5515;67;56;1920;1909;32.01;27.8;193;;;1;0;2;1;13;14;1;0;14;2;87;67;53;8;13;3;5;11;5;119;76;55;19;14;6;8;108;1;0;7.87;2.49;77.05;46.75;33.90;14.34;12.03;4.13;6.91;4.24;2.76;78.03;47.34;32.89;15.53;12.09;4.15;6.99
166563;12/02/2018;H;B;R32;3;4868;5868;95;132;1871;1709;31;26.15;188;;;1;0;2;1;16;16;1;0;9;3;100;69;52;18;16;3;5;16;5;97;56;46;19;16;3;5;126;0;0;8.02;4.18;79.11;47.09;35.04;15.90;12.39;4.07;6.46;6.93;3.04;79.67;48.92;35.44;15.89;12.49;3.96;6.36
166593;12/02/2018;H;A;R32;3;4606;4994;17;53;2153;1886;32.41;30.48;196;190;;1;0;2;0;13;8;0;0;6;1;64;44;36;10;11;5;6;3;0;54;34;23;12;10;2;5;71;0;0;7.73;2.46;76.02;44.05;33.93;16.80;12.30;3.34;5.25;6.52;2.86;78.18;47.77;33.76;14.56;12.10;4.10;7.02
