match_id,date,surface,level,round,best_of,player_id,opponent_id,player_rank,opponent_rank,player_elo_rating,opponent_elo_rating,player_age,opponent_age,player_height,opponent_height,outcome,p_matches,o_matches,p_sets,o_sets,p_games,o_games,p_tbs,o_tbs,p_ace,p_df,p_sv_pt,p_1st_in,p_1st_won,p_2nd_won,p_sv_gms,p_bp_sv,p_bp_fc,o_ace,o_df,o_sv_pt,o_1st_in,o_1st_won,o_2nd_won,o_sv_gms,o_bp_sv,o_bp_fc,minutes,p_upsets,o_upsets,p_avg_ace,p_avg_df,p_avg_sv_pt,p_avg_1st_in,p_avg_1st_won,p_avg_2nd_won,p_avg_sv_gms,p_avg_bp_sv,p_avg_bp_fc,o_avg_ace,o_avg_df,o_avg_sv_pt,o_avg_1st_in,o_avg_1st_won,o_avg_2nd_won,o_avg_sv_gms,o_avg_bp_sv,o_avg_bp_fc
166140,01/01/2018,H,B,R32,3,5718,6051,81.0,109.0,1812,1666,26.79,25.25,188.0,,,1,0,2,1,18,14,1,1,11.0,7.0,118.0,76.0,57.0,19.0,16.0,9.0,11.0,5.0,4.0,109.0,72.0,48.0,18.0,16.0,2.0,6.0,144.0,0,0,10.35,4.36,84.13,48.05,36.29,18.44,13.18,3.67,6.04,6.29,3.15,82.2,51.21,38.61,17.46,13.2,3.37,5.11
167510,28/05/2018,C,G,R128,5,11174,4533,122.0,104.0,1682,1846,22.13,33.15,,175.0,,1,0,3,0,18,10,1,0,6.0,2.0,97.0,58.0,41.0,21.0,14.0,5.0,7.0,2.0,4.0,108.0,55.0,34.0,20.0,14.0,5.0,11.0,132.0,1,0,4.34,3.24,87.37,51.73,35.41,16.8,13.0,5.0,8.46,4.71,2.73,82.83,48.71,35.85,18.05,13.07,4.05,6.27
168043,23/07/2018,C,B,QF,3,26414,3852,84.0,66.0,1826,1981,22.28,36.84,,188.0,,1,0,2,0,12,7,0,0,9.0,3.0,45.0,32.0,30.0,8.0,9.0,1.0,1.0,4.0,2.0,57.0,34.0,24.0,12.0,10.0,5.0,8.0,63.0,1,0,7.32,2.04,79.36,48.36,36.08,16.16,12.96,3.48,5.84,3.8,2.88,83.28,52.12,38.0,17.52,13.28,4.04,6.0
168346,27/08/2018,H,G,R128,5,5438,4794,31.0,76.0,1977,1882,28.67,31.97,188.0,188.0,,1,0,3,0,18,12,1,0,16.0,2.0,90.0,54.0,49.0,21.0,15.0,1.0,1.0,11.0,2.0,88.0,52.0,42.0,17.0,15.0,5.0,7.0,130.0,0,0,8.55,3.04,80.8,47.93,36.15,17.2,12.7,3.73,5.69,7.89,3.03,79.05,48.19,35.77,16.75,12.55,3.64,5.69
167375,07/05/2018,C,M,QF,3,4728,5571,8.0,95.0,2086,1901,31.97,27.85,203.0,180.0,,1,0,2,1,15,15,1,0,15.0,3.0,92.0,63.0,43.0,19.0,15.0,1.0,3.0,1.0,2.0,93.0,66.0,46.0,14.0,15.0,3.0,5.0,132.0,0,0,12.27,3.0,80.72,52.14,39.9,15.2,13.07,3.44,5.21,5.97,3.02,82.69,50.47,37.14,17.05,12.92,3.79,5.92
166625,19/02/2018,H,B,R32,3,5670,6107,32.0,105.0,2136,1745,27.15,25.06,196.0,,,1,0,2,0,13,6,0,0,9.0,3.0,51.0,20.0,17.0,20.0,10.0,0.0,1.0,3.0,5.0,52.0,22.0,15.0,14.0,9.0,4.0,8.0,84.0,0,0,14.81,3.1,79.57,49.98,40.47,16.16,13.15,2.79,4.0,5.7,2.59,82.48,51.74,37.92,16.65,13.0,3.65,5.7
166118,01/01/2018,H,B,R16,3,5539,5868,64.0,134.0,1897,1713,27.63,26.04,185.0,,,1,0,2,0,12,9,1,0,2.0,1.0,60.0,43.0,31.0,11.0,10.0,4.0,6.0,9.0,2.0,79.0,42.0,30.0,13.0,11.0,4.0,8.0,95.0,0,0,4.95,2.63,87.23,56.85,39.07,15.56,13.29,5.28,8.24,7.15,3.25,86.32,52.2,38.27,17.06,13.38,4.48,7.09
166694,19/02/2018,C,A,R16,3,4921,5801,21.0,60.0,2046,1864,30.74,26.58,178.0,,,1,0,2,1,16,16,1,0,1.0,5.0,93.0,55.0,38.0,26.0,16.0,2.0,4.0,9.0,0.0,92.0,59.0,42.0,20.0,16.0,2.0,4.0,137.0,0,0,3.17,4.04,80.23,47.1,31.68,15.89,12.16,4.6,8.11,4.44,2.89,78.7,47.38,32.29,15.44,12.26,4.48,7.82
166944,19/03/2018,H,M,R64,3,3970,5528,35.0,88.0,2009,1839,35.96,27.86,175.0,185.0,,1,0,2,0,12,4,0,0,0.0,0.0,64.0,37.0,28.0,13.0,8.0,5.0,5.0,0.0,1.0,42.0,23.0,10.0,10.0,8.0,2.0,6.0,73.0,0,0,2.73,2.57,76.46,48.15,33.11,14.89,12.03,4.03,6.71,4.0,2.78,78.68,46.89,31.23,14.45,11.88,4.82,8.56
168505,15/09/2018,C,D,RR,3,11766,4493,187.0,674.0,1708,1690,22.67,33.64,,178.0,,1,0,2,0,12,5,0,0,3.0,1.0,61.0,41.0,27.0,13.0,9.0,5.0,6.0,2.0,2.0,60.0,35.0,24.0,8.0,8.0,5.0,9.0,80.0,0,0,3.56,1.78,74.78,46.22,31.56,15.0,11.67,3.89,6.67,5.67,1.67,72.44,42.22,28.56,15.44,11.44,4.44,7.78
