p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff,elo_rating_diff
289,-1.0,78,644,11769,Geneva,20/05/2019,1,-0.08764452902550474,0.09846972798532348,-0.38284506419711306,1.2556122139968666,0.8980774880325416,-0.7875004037542915,-0.17542987999162948,0.9621842860408676,-1.096893187021552,-0.06807174154279035,0.47639004023201736,0.49741644245105343,1.103445046415393
44,0.0,400,44825,5324,Lyon,20/05/2019,0,2.6837229656896784,-0.7910676285547988,0.6165921335794229,-0.018126320095535314,0.2942673218777439,-0.1593375212786512,-0.46324693055471833,-0.11164507068365156,0.11548507902851322,0.38036957237349933,0.3885872036734496,0.37829253635373605,-0.04751677233367721
120,1.0,165,33215,5718,Canada Masters,05/08/2019,0,-0.2642708473927501,0.1158509635875847,0.4090762432635617,0.4832300560389983,0.5191690204197076,-0.05447436624911144,-0.34549597183244485,0.6823879034425314,0.02703140346154955,0.17608680937357424,0.3881724576482244,0.39696364662309186,-0.036957489592860056
635,0.0,143,3852,5349,Canada Masters,05/08/2019,1,-0.7648128098743564,1.490192533722345,-0.13498880123651594,-1.0791584831001317,0.017712899126604172,0.530555911136108,1.6256031867734313,1.0103815673721646,1.770600028064501,0.9670012497942502,0.5211021942615096,0.49555722620194914,0.44876951648472924
48,0.0,710,5602,5220,Canada Masters,05/08/2019,0,0.9905894457170268,-1.2479106440102026,-0.7103557220166464,-1.851706858242995,-2.2594652214151822,1.4526817351677703,-0.5223581584961388,1.087839010662819,-0.20306180093571893,-0.9859481342871521,-1.7971064591210717,-1.8373266175457417,-1.9481876656807657
649,1.0,97,4544,11415,Canada Masters,05/08/2019,0,1.0812134559263071,1.6026586538905832,2.078821482241388,-1.7590732886199298,0.6306850007710494,0.4100569103637469,2.582642126761795,-0.33654472475864394,2.281528574648588,2.3053754962208615,1.5277411862663688,1.5485993880001014,0.8130647710429212
81,0.0,51,11485,6412,Canada Masters,05/08/2019,0,0.15977796540775963,0.31384881866069636,0.39353071529271555,-0.8175327352950439,-0.26192370861210823,1.1357727342135038,0.14004952275167393,0.37883433316220844,0.8805205740465197,0.42616325104236663,0.10291185316955768,0.06409813054932761,-0.021118565481634318
197,-1.0,228,6364,6387,Canada Masters,05/08/2019,0,-1.173636388315536,-0.7615194411938637,-0.15016199701631927,0.7922143541727796,-0.2332018376415258,0.2655498010079754,-2.0252942917679086,-0.5797853697640153,-0.4005848162375576,-0.9722884888282517,-0.6315957113778363,-0.6304094542998483,-0.7074719436347496
78,-1.0,113,11787,5902,Canada Masters,05/08/2019,1,1.5741906972521318,-0.12461553663459729,-0.7088421682268503,-0.5003598105378328,-0.4090007401774864,-1.01365337060549,0.09613918924274037,0.299161936998773,0.01876812692358928,0.016372666524658908,-0.1900061451464818,-0.2091461519344929,-0.3114988408541062
246,-0.5,634,5515,4541,Canada Masters,05/08/2019,0,-1.3128145898138772,-0.2711480493746933,-0.9120793760689582,-0.11978964295343712,-0.8769704629339995,-0.11618292163001938,-0.25910540728347653,1.1953181015274934,-0.388631870802075,-0.933687695929298,-1.007577073378984,-1.0027204766727817,-0.21646529618675175
