p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,player_elo_rating,opponent_elo_rating,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff,elo_rating_diff
54,0.0,200,6315,4546,Quito,05/02/2018,1741,1861,1,0.5214152975159159,-0.23221542716485388,-0.2471135089057315,0.3404486010039231,0.10276127726885644,-0.5118857255067586,-0.41304776059099446,0.10623101352140539,-0.5487189685662771,-0.15923723074410093,-0.017376908898851642,-0.00977441934831253,-0.6100363805402099
504,0.0,67,4198,25898,Montpellier,05/02/2018,1824,1978,0,-0.2906218373491698,0.0064542185268074434,0.09260852576736392,0.05853482746187612,0.03413280596841041,-0.22641087264902207,-0.11098515011388256,0.13586013531768654,0.2463851875686831,-0.026958772455018588,-0.00431132615945543,-0.0012639973638604216,-0.7828800216932694
62,0.0,614,6407,4752,Montpellier,05/02/2018,1918,2060,0,-0.3054890421151388,-0.2859659302295036,-1.271497432113158,-0.4328526355860557,-0.9459343278607903,0.16914753031657487,0.41172259978837417,1.0426947089597034,0.4452515344296854,-0.7426332590611647,-0.9328054743722476,-0.9258508271040236,-0.7218763836392483
4,0.0,279,6206,5303,Sofia,05/02/2018,1581,1839,0,0.7654887557811311,-0.8248937900907741,0.07860617639234778,-0.11056756438523332,-0.49754725517666454,2.2406334898883364,-0.3317103481375092,0.6370166707815619,-2.6203638192908114,-0.47761968045286646,-0.5243207417774051,-0.5223453027384376,-1.3115782181614513
48,0.0,17,5476,11769,Quito,05/02/2018,1687,1708,0,-0.2208032530667266,-0.8377311591388662,-1.1320644644484785,0.6536217086554608,-0.4352192787791051,-1.8112243560199601,-0.9577414523711826,1.2428414826360716,-0.7353937555105986,-1.0967531186941435,-0.8170870510348013,-0.8041001216056917,-0.10675636659453673
84,0.0,85,4927,5718,Montpellier,05/02/2018,1758,1814,0,1.9707062054452669,-0.7047306487390375,-0.6799166011831588,-0.2121371360462288,-0.38328680934135423,0.9947048355223134,-0.3651095514241174,0.17444412148974203,1.0714293947780018,-0.27295848555434343,-0.35216492542954053,-0.3634076704745622,-0.28468364425209797
6,0.0,286,5868,4664,Quito,05/02/2018,1703,1756,1,-2.237779372188544,1.0602383474116126,-0.03760569767777859,-0.9398851787456117,-0.5305401425827937,2.6071224145620895,1.3565728261483223,0.5757588719660152,-1.3062589724410696,0.3023574516706758,-0.054827426160938955,-0.10927904438570783,-0.2694327347385927
150,0.0,17,4291,9719,Sofia,05/02/2018,1803,1735,0,-2.7470314187278793,0.6243115076573746,-0.7895221800755261,1.0944950884910958,0.427738980384217,1.2281080174007772,-0.4305009124878606,1.170719009756871,0.38558355780169085,-0.3913958583017284,0.05507649414408608,0.08823759630636428,0.34568728230611895
56,0.0,4,5067,23755,Montpellier,05/02/2018,1845,1689,1,0.9459193704097439,0.7066244143725292,1.7453588849178798,-0.5934110685517328,0.7161701031125782,1.7119217079292903,0.09241646526287264,-1.8889543618952815,1.249493690719627,1.3748923810740576,1.1310518334020119,1.1064650740973392,0.7930472947022729
345,0.0,23,4252,5792,Sofia,05/02/2018,1864,1837,0,0.547284203245247,-0.16867175295304604,-0.2547042243854942,0.47639628560201885,0.2893168049003361,0.37050286239242636,-0.2129534882105935,-0.2503406680248101,-1.4532497195320806,-0.10916418744027778,0.08262385351147887,0.09916274606622494,0.13725818562154724
6,0.0,31,5929,6134,Quito,05/02/2018,1681,1739,0,-1.0751589535645096,1.2502264627814055,0.14437628611670483,-1.6071077098479503,-0.5129183730503177,2.2334749164382135,0.3750814058479497,2.4257824608920604,1.2799691465908367,0.7314755473999393,0.09069090547846223,0.026073223540068458,-0.29485091726110146
31,0.0,498,23848,3333,Quito,05/02/2018,1740,1906,0,-2.262105141565475,-2.054450260877171,-0.03899298790773531,1.0790456100437422,-0.9950741744246295,0.5159347756461773,-3.015453553320722,-0.08493715492936818,-0.9306232498766099,-2.170468424714869,-1.6107911698557091,-1.6847419212363317,-0.8438836597472904
509,-1.0,403,4677,5201,Sofia,05/02/2018,1906,1866,1,0.027180825015103244,-0.49029261409796215,-0.2638268020123508,0.5928008397022781,0.05655060448422369,-0.07473823307061488,-0.34843968806955355,-1.2749462950196055,-0.7035436601833768,-0.4634933828843935,-0.2232905816523962,-0.2019012812241782,0.20334546018006996
787,0.0,86,3970,11547,Montpellier,05/02/2018,2020,1917,0,1.0473719484020911,-0.6441623111299986,0.7032876051896101,1.548557553373773,1.1364864444979514,-0.10658724738060397,-1.3315532456533976,-0.5886884748671403,-0.6893572751605674,-0.014576318442852648,0.6246421689710638,0.6601514632700234,0.5236145599636801
426,1.0,151,3898,5564,Montpellier,05/02/2018,1950,1818,0,1.84652560936088,-0.19300936827406745,-0.6069829960656564,0.2623132011714722,0.22507119562936023,-0.28763563441376383,0.3349921850788631,-0.23926410139407697,-0.32181910852305007,0.03927929659785054,0.14548917248642887,0.15327183647857176,0.6710400185942309
14,0.0,1,4628,44669,Quito,05/02/2018,1662,1762,0,-0.34959598449546453,2.0054066185732013,1.4679542671405528,-2.201594769027261,-0.3697937449191395,-4.565124554478107,0.3410940544294372,-0.9840496942879304,1.4094196787583253,2.0076451049544657,1.2180275751171736,1.0340583170935889,-0.508363650450175
649,1.0,3,4467,20265,Montpellier,05/02/2018,1954,1702,1,-0.41895149580175756,0.4542072232731085,1.8189198985258455,1.0106173488401387,1.556033494247058,1.189933595992624,0.38699113222248127,0.055704217999835215,0.702249721985252,0.9377307667613143,1.343154516654128,1.371242888505245,1.2810763991344407
70,0.0,20,4296,5403,Quito,05/02/2018,1708,1828,0,-0.9483794415118316,0.4049106145514167,0.13048105400592003,-1.5757098983830755,-0.9440706453489495,0.2282562277239054,0.3113785215891,0.48030746312439015,0.1375653390200435,0.1957906803183833,-0.3974045119197567,-0.49207210124166456,-0.6100363805402099
481,0.0,307,4570,5166,Sofia,05/02/2018,1939,2004,1,-1.5859017209259128,1.0538586410230042,0.33400909043609023,0.10347874211398582,0.516776568461112,-0.3319111141826909,0.6615667519486299,0.464073814574539,0.3081860174917021,0.5250444644908983,0.5726332663896013,0.5663400328497464,-0.3304363727926137
338,0.0,4,5070,5919,Quito,05/02/2018,1939,1702,1,-0.4995479863234717,-1.4925787288255303,-0.5927100584677972,2.5967076693035414,0.6324889270654367,-2.2336019917065584,-0.1772796499567117,0.990830539491473,-3.0645336836590795,-1.495958544340935,-0.3726153317373622,-0.35393068537010425,1.2048218515669145
330,-1.0,78,5324,5349,Montpellier,05/02/2018,1915,1899,1,-2.3912816088582924,1.1544388732456798,-1.365016304002723,0.2835475603505768,-0.006107726244991387,0.38548167129596667,1.0293019976739126,2.0237959484186514,0.8017818749648757,-0.25118431887267684,-0.14238895801816673,-0.125847456941603,0.08133818407202799
42,1.0,101,5577,3607,Quito,05/02/2018,1758,1798,1,0.01771919902883293,-0.2060672689299154,-0.23070863518800624,0.22754762296887607,-0.03095476949218564,-0.5800570803544798,0.04540240133878622,0.20280136774113788,0.34422839561384666,-0.24015464802848818,-0.1477432407369117,-0.13929342984944273,-0.20334546018006996
187,0.0,20,5034,6061,Sofia,05/02/2018,1816,1727,0,-0.4416781006170968,0.8693151330375719,-0.38104092537518547,-0.6092057702566304,-0.08906040076255624,0.1644787523304606,0.6741713357770706,0.0026551545700573133,-0.23493160628141746,0.4368282949033869,0.1921446879047252,0.16828165474669238,0.4524436489006557
288,0.2,551,4180,4311,Sofia,05/02/2018,2025,1934,1,0.6554938348127195,1.6035515379758636,0.038449782640594496,-1.7110910932194805,-0.079144063655346,0.24492292533580307,2.2300900603946014,0.5126573212751828,1.4831188253502687,1.4121395083615778,0.6759109543680893,0.6565310280313224,0.4626109219096592
314,-1.0,589,3917,4541,Montpellier,05/02/2018,1897,2113,0,-0.2838595293169557,-0.6910011445573989,-0.5378294773803378,-0.4285546428192397,-0.9659719400784745,0.17291446576437397,-0.45298940389305414,0.8338437913090064,-0.25054013150896914,-0.8019872936470823,-0.9827935664166721,-0.9829046351269942,-1.0980654849723779
21,0.0,544,34554,4789,Quito,05/02/2018,1742,2109,0,0.6494546915522501,-0.9454462362977913,0.19209988720487717,-1.2143971092753583,-1.374667923138826,0.394413334669983,-0.8974700889327418,-0.6501260117385074,0.29532761324354845,-0.5687079661176505,-1.0690539442905584,-1.0936558160010135,-1.865694597152142
