p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff,elo_rating_diff
26,-1.0,361,34554,5070,Roland Garros,28/05/2018,0,0.04345290008049252,0.00887381259639708,-0.006320073872663978,-0.018907978653553092,-0.009501106781084623,0.11431919880673336,0.097549170297416,-0.0065944654965505445,0.020636975789099288,0.010756473335373329,-0.004453097508109294,-0.008151505318179764,-141
433,-1.0,528,3898,5216,Roland Garros,28/05/2018,0,0.009447126212831503,-0.046639649927107674,-0.040745812847647334,-0.007696357066089177,-0.019445288179928966,-0.0003236755546224268,-0.11028196341214186,0.08247377039644144,-0.005624454473879048,-0.042517827154593735,-0.034259186536895025,-0.050214184220682925,-324
335,0.0,7,5663,44669,Roland Garros,28/05/2018,1,-0.07244822863484124,0.08668878093643118,0.03985008372983184,0.0162693394925576,0.02916417299693419,-0.09680170575692959,0.20158570317777977,-0.1163962218454832,0.0006692676118882357,0.05547122687082118,0.04813258651591218,0.07174056636337878,381
562,0.0,226,4789,5364,Roland Garros,28/05/2018,1,0.05248912228210956,0.04213504682407598,0.01018465645618516,0.006030162174095688,0.01850839499218282,0.04169684754196451,0.2877275474070672,-0.025200631008342855,0.0017819587603614684,0.040651744150068336,0.03180108525847053,0.04668190632416402,115
44,0.0,15,6051,5466,Roland Garros,28/05/2018,1,0.07772977492857647,0.023079367497170322,-0.03668098237003087,-0.02347055712270807,-0.010341342745523896,-0.23333333333333328,0.12790697674418608,-0.12220068906115417,-0.013884450126060877,0.01480465043979784,-0.003665729072246382,-0.008665906682910243,95
214,0.6000000000000001,250,5630,5793,Roland Garros,28/05/2018,0,-0.030515396127868355,0.01702618676577894,0.007488738830641273,-0.008008393692790383,-0.002579978616031986,0.09013084112149528,-0.014850085085639342,0.10878284897521762,0.02663652895069657,0.00796239420879541,0.00047289204094536075,-4.5999483994974e-05,-146
363,1.0,328,5131,5046,Roland Garros,28/05/2018,1,0.026437889784528767,0.008441526562710022,0.02996392115842328,0.016081985448241354,0.01801407671089794,0.018385070214338495,-0.06879233548276839,0.03271855018805081,-0.005777199588699933,0.020427225229995405,0.024213877080202395,0.03650921067823665,277
8,0.0,852,44494,4920,Roland Garros,28/05/2018,0,-0.027094750597943973,-0.1366148686593457,-0.09539008417529399,-0.033588432083110575,-0.06443484801327948,0.4055164319248826,-0.22603279166163998,-0.0070290608874189475,-0.0874908146069604,-0.12585600270643404,-0.1080264833338091,-0.15944443478954462,-578
656,0.0,7,4269,5805,Roland Garros,28/05/2018,1,0.08422331481860668,8.606720364690013e-05,0.012331689864908901,0.03339098053561196,0.029697030375855582,0.07447735191637633,0.029650087166897987,-0.035978581847938285,-0.03310723124647219,0.022002644363077306,0.036050936215865415,0.055393624898689264,245
435,0.0,96,5763,11549,Roland Garros,28/05/2018,1,0.09434371173104872,0.008084675358800197,0.0012095444392811183,0.0040719264908707364,0.011558695721221146,-0.024137931034482696,0.05994925819513752,-0.03146860000784085,0.035466570918893825,0.02665564916373797,0.020820476350414507,0.030727575654608708,254
